time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-16T13:12:46.201Z,61.908,-150.2909,29.8,2.7,ml,,,,0.7,ak,ak15505089,2017-03-16T13:17:42.962Z,"22km NW of Willow, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-16T11:39:00.467Z,59.4195,-151.9386,41.6,2.6,ml,,,,0.58,ak,ak15505073,2017-03-16T11:43:00.354Z,"33km SW of Homer, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-03-16T08:58:00.270Z,36.7002,-98.4252,5.27,3.4,mb_lg,,62,0.201,0.2,us,us20008sfv,2017-03-16T13:35:15.303Z,"8km SW of Cherokee, Oklahoma",earthquake,0.8,6.1,0.052,98,reviewed,us,us
2017-03-16T08:29:14.400Z,-23.724,179.1622,540.75,5.1,mb,,58,6.039,0.77,us,us20008sfq,2017-03-16T08:47:15.040Z,"South of the Fiji Islands",earthquake,9.7,7.5,0.066,75,reviewed,us,us
2017-03-16T08:08:05.780Z,-24.17,-66.9191,190.39,5.2,mb,,39,2.398,1.28,us,us20008sfi,2017-03-16T08:26:55.040Z,"61km W of San Antonio de los Cobres, Argentina",earthquake,9.3,20.4,0.036,256,reviewed,us,us
2017-03-16T07:55:45.711Z,57.0468,-154.1765,40.4,4.3,ml,,,,0.85,ak,ak15504355,2017-03-16T08:26:40.345Z,"46km SSW of Larsen Bay, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2017-03-16T07:05:12.310Z,-33.9915,-72.1759,22.68,4.5,mwr,,75,0.574,0.68,us,us20008sf5,2017-03-16T13:29:29.640Z,"67km SW of San Antonio, Chile",earthquake,4.1,5,0.036,73,reviewed,us,us
2017-03-16T06:30:42.380Z,-20.3361,-173.1111,10,5.2,mb,,107,3.25,1.19,us,us20008sf4,2017-03-16T06:50:14.040Z,"142km ESE of Pangai, Tonga",earthquake,10.6,1.9,0.078,54,reviewed,us,us
2017-03-16T06:20:13.980Z,36.2291,-97.2113,5,2.7,mb_lg,,29,0.036,0.24,us,us20008sf2,2017-03-16T06:33:16.439Z,"9km SE of Perry, Oklahoma",earthquake,1,2,0.088,34,reviewed,us,us
2017-03-16T03:55:31.200Z,33.2425,-116.0573333,4.46,2.67,ml,73,37,0.1722,0.2,ci,ci37830704,2017-03-16T06:53:55.554Z,"11km WSW of Salton City, CA",earthquake,0.21,1.61,0.202,25,automatic,ci,ci
2017-03-16T03:30:36.100Z,17.8855,-66.5818,4,2.8,Md,12,201.6,0.15810349,0.37,pr,pr17075000,2017-03-16T07:22:52.718Z,"14km SSE of Ponce, Puerto Rico",earthquake,0.6,0.8,0,7,reviewed,pr,pr
2017-03-16T00:54:58.210Z,20.0886,-70.4312,16.99,4.4,mb,,62,0.714,0.87,us,us20008sed,2017-03-16T03:00:13.771Z,"36km NNE of Sosua, Dominican Republic",earthquake,4.3,4.9,0.071,57,reviewed,us,us
2017-03-15T23:29:48.250Z,35.863,27.6151,16.92,4.3,mb,,59,0.485,0.99,us,us20008se3,2017-03-16T00:15:24.040Z,"44km SW of Lardos, Greece",earthquake,4.3,5.4,0.078,46,reviewed,us,us
2017-03-15T23:12:59.100Z,19.0569,-67.416,11,2.9,Md,6,313.2,0.6521769,0.3,pr,pr17074007,2017-03-16T04:47:03.133Z,"70km NNW of San Antonio, Puerto Rico",earthquake,3,4.5,0,4,reviewed,pr,pr
2017-03-15T22:44:30.770Z,36.5993333,-121.1988333,5.61,2.62,md,48,87,0.09392,0.06,nc,nc72776136,2017-03-16T06:14:44.897Z,"22km NNE of Soledad, California",earthquake,0.14,0.47,0.242,61,reviewed,nc,nc
2017-03-15T22:21:25.320Z,37.0356,-97.9129,1.21,2.6,mb_lg,,91,0.079,0.18,us,us20008sd6,2017-03-16T03:28:33.436Z,"16km SE of Anthony, Kansas",earthquake,1,6.9,0.147,13,reviewed,us,us
2017-03-15T22:19:43.280Z,51.2573,179.0809,30.92,5.3,mb,,71,0.182,1.23,us,us20008sd8,2017-03-15T23:19:19.000Z,"85km SSW of Semisopochnoi Island, Alaska",earthquake,7.5,4.9,0.029,410,reviewed,us,us
2017-03-15T21:47:15.310Z,51.1705,179.0891,27.81,4.9,mb,,130,0.245,0.98,us,us20008sd5,2017-03-15T22:13:42.587Z,"93km SSW of Semisopochnoi Island, Alaska",earthquake,8,4.8,0.041,190,reviewed,us,us
2017-03-15T21:07:21.610Z,35.9838,-97.2066,2.37,2.6,mb_lg,,28,0.085,0.15,us,us20008scv,2017-03-15T21:18:09.803Z,"6km NE of Langston, Oklahoma",earthquake,0.9,4.1,0.111,21,reviewed,us,us
